snapshot_date,snapshot_ts,match_date,league,match,market,odds
2026-08-11,2026-08-11T16:39:34,2026-08-14,Championship,Wolverhampton Wanderers vs Blackburn Rovers,over25,1.79
2026-08-11,2026-08-11T16:39:34,2026-08-14,Championship,Wolverhampton Wanderers vs Blackburn Rovers,under25,1.99
2026-08-11,2026-08-11T16:39:34,2026-08-15,League One,Barnsley vs Bromley FC,over25,1.9
2026-08-11,2026-08-11T16:39:34,2026-08-15,League One,Barnsley vs Bromley FC,under25,1.87
2026-08-11,2026-08-11T16:39:34,2026-08-15,La Liga 2,Oviedo vs Granada CF,over25,1.95
2026-08-11,2026-08-11T16:39:34,2026-08-15,La Liga 2,Oviedo vs Granada CF,under25,1.9
2026-08-11,2026-08-11T17:42:55,2026-08-14,Championship,Wolverhampton Wanderers vs Blackburn Rovers,over25,1.8
2026-08-11,2026-08-11T17:42:55,2026-08-14,Championship,Wolverhampton Wanderers vs Blackburn Rovers,under25,1.98
2026-08-11,2026-08-11T17:42:55,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,over25,1.68
2026-08-11,2026-08-11T17:42:55,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,under25,2.14
2026-08-11,2026-08-11T17:42:55,2026-08-15,La Liga 2,Oviedo vs Granada CF,over25,1.94
2026-08-11,2026-08-11T17:42:55,2026-08-15,La Liga 2,Oviedo vs Granada CF,under25,1.91
2026-08-11,2026-08-11T17:42:55,2026-08-16,La Liga 2,Girona FC vs Leganés,over25,2.04
2026-08-11,2026-08-11T17:42:55,2026-08-16,La Liga 2,Girona FC vs Leganés,under25,1.81
2026-08-11,2026-08-11T18:40:42,2026-08-14,La Liga 2,Real Sociedad B vs CD Castellón,over25,1.65
2026-08-11,2026-08-11T18:40:42,2026-08-14,La Liga 2,Real Sociedad B vs CD Castellón,under25,2.29
2026-08-11,2026-08-11T18:40:42,2026-08-15,League One,Barnsley vs Bromley FC,over25,1.89
2026-08-11,2026-08-11T18:40:42,2026-08-15,League One,Barnsley vs Bromley FC,under25,1.88
2026-08-11,2026-08-11T18:40:42,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,over25,1.67
2026-08-11,2026-08-11T18:40:42,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,under25,2.16
2026-08-11,2026-08-11T18:40:42,2026-08-16,La Liga 2,Girona FC vs Leganés,over25,2.03
2026-08-11,2026-08-11T18:40:42,2026-08-16,La Liga 2,Girona FC vs Leganés,under25,1.82
2026-08-11,2026-08-11T19:49:44,2026-08-15,Championship,Bristol City vs Millwall,over25,1.92
2026-08-11,2026-08-11T19:49:44,2026-08-15,Championship,Bristol City vs Millwall,under25,1.85
2026-08-11,2026-08-11T20:32:17,2026-08-15,Championship,Bristol City vs Millwall,over25,1.91
2026-08-11,2026-08-11T20:32:17,2026-08-15,Championship,Bristol City vs Millwall,under25,1.86
2026-08-11,2026-08-11T21:28:08,2026-08-14,Championship,Wolverhampton Wanderers vs Blackburn Rovers,over25,1.79
2026-08-11,2026-08-11T21:28:08,2026-08-14,Championship,Wolverhampton Wanderers vs Blackburn Rovers,under25,1.99
2026-08-12,2026-08-12T09:21:20,2026-08-15,League Two,Gillingham vs Walsall,over25,2.01
2026-08-12,2026-08-12T09:21:20,2026-08-15,League Two,Gillingham vs Walsall,under25,1.76
2026-08-12,2026-08-12T09:21:20,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,over25,1.68
2026-08-12,2026-08-12T09:21:20,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,under25,2.14
2026-08-12,2026-08-12T09:21:20,2026-08-16,La Liga 2,Las Palmas vs Albacete,over25,1.87
2026-08-12,2026-08-12T09:21:20,2026-08-16,La Liga 2,Las Palmas vs Albacete,under25,1.98
2026-08-12,2026-08-12T10:35:06,2026-08-14,Championship,Wolverhampton Wanderers vs Blackburn Rovers,over25,1.8
2026-08-12,2026-08-12T10:35:06,2026-08-14,Championship,Wolverhampton Wanderers vs Blackburn Rovers,under25,1.98
2026-08-12,2026-08-12T10:35:06,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,over25,1.67
2026-08-12,2026-08-12T10:35:06,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,under25,2.16
2026-08-12,2026-08-12T10:35:06,2026-08-16,La Liga 2,Las Palmas vs Albacete,over25,1.88
2026-08-12,2026-08-12T10:35:06,2026-08-16,La Liga 2,Las Palmas vs Albacete,under25,1.97
2026-08-12,2026-08-12T11:29:42,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,over25,1.68
2026-08-12,2026-08-12T11:29:42,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,under25,2.14
2026-08-12,2026-08-12T12:28:53,2026-08-16,La Liga 2,Las Palmas vs Albacete,over25,1.87
2026-08-12,2026-08-12T12:28:53,2026-08-16,La Liga 2,Las Palmas vs Albacete,under25,1.98
2026-08-12,2026-08-12T14:03:40,2026-08-14,La Liga 2,Real Sociedad B vs CD Castellón,under25,2.3
2026-08-12,2026-08-12T14:03:40,2026-08-15,League Two,Accrington Stanley vs Colchester United,over25,2.05
2026-08-12,2026-08-12T14:03:40,2026-08-15,League Two,Accrington Stanley vs Colchester United,under25,1.73
