player_id,player_name,team,position,goals_pg,assists_pg,sot_pg,shots_pg,cards_pg,minutes_pg,rating_pg,saves_pg,games_used,player_career_avg_quality
287868,Max Merrick,Chelsea,G,,,,,,,,,,
180940,T. Sharman-Lowe,Chelsea,G,,,,,,,,,,
64167,G. Słonina,Chelsea,G,,,,,,,,,,
5996,E. Fernández,Chelsea,M,0.4,0.2,0.6,1.2,0.4,90.0,7.18,0.0,5.0,1.0
152982,C. Palmer,Chelsea,M,0.2,0.0,1.0,1.8,0.2,89.8,6.88,0.0,5.0,1.0
116117,M. Caicedo,Chelsea,M,0.0,0.0,0.0,0.0,0.4,89.0,7.0,0.0,5.0,1.0
308678,Dário Essugo,Chelsea,M,0.0,0.0,0.0,0.0,0.0,17.0,6.6,0.0,1.0,1.0
282125,R. Lavia,Chelsea,M,0.0,0.0,0.0,0.4,0.0,48.0,6.78,0.0,5.0,1.0
568066,M. Eboue,Chelsea,M,,,,,,,,,,
454935,L. Emenalo,Chelsea,M,,,,,,,,,,
610563,C. Holland,Chelsea,M,,,,,,,,,,
557379,R. Kavuma McQueen,Chelsea,M,,,,,,,,,,
482888,R. Walsh,Chelsea,M,,,,,,,,,,
17714,L. Woolfenden,Coventry,D,0.0,0.0,0.0,0.0,0.0,81.0,6.7,0.0,5.0,1.0
162414,A. Amenda,Coventry,D,,,,,,,,,,
19574,J. Bidwell,Coventry,D,,,,,,,,,,
291147,Miguel Brau,Coventry,D,,,,,,,,,,
19260,J. Dasilva,Coventry,D,,,,,,,,,,
298128,K. Kesler-Hayden,Coventry,D,,,,,,,,,,
18202,L. Kitching,Coventry,D,,,,,,,,,,
