snapshot_date,snapshot_ts,match_date,league,match,market,odds
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Ligue 2,Rodez vs Metz,btts_no,1.95
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Ligue 2,Rodez vs Metz,btts_yes,1.81
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,La Liga 2,Santander vs Eibar,btts_no,2.08
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,La Liga 2,Santander vs Eibar,btts_yes,1.79
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Championship,Sheffield Weds vs Leeds,btts_no,2.12
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Championship,Sheffield Weds vs Leeds,btts_yes,1.76
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Ligue 2,Troyes vs Clermont,btts_no,1.91
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Ligue 2,Troyes vs Clermont,btts_yes,1.86
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,League One,Barnsley vs Northampton,btts_no,2.02
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,League One,Barnsley vs Northampton,btts_yes,1.82
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,League Two,Barrow vs Port Vale,btts_no,2.03
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,League Two,Barrow vs Port Vale,btts_yes,1.81
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,Championship,Blackburn vs Oxford,btts_no,2.12
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,Championship,Blackburn vs Oxford,btts_yes,1.76
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,League Two,Bradford vs Bromley,btts_no,2.0
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,League Two,Bradford vs Bromley,btts_yes,1.85
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,Serie B,Brescia vs Cittadella,btts_no,1.82
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,Serie B,Brescia vs Cittadella,btts_yes,1.97
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,Championship,Bristol City vs Coventry,btts_no,2.37
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,Championship,Bristol City vs Coventry,btts_yes,1.67
2024-08-24,2024-08-24T00:00:00Z,2024-08-24,League One,Burton vs Stevenage,btts_no,2.09
